schoolLocation,schoolName,schoolType,schoolLevel,gradeRange
Ottawa,St Luke (Ottawa) Elementary School,Catholic,Elementary,JK-6
Ottawa,St Marguerite d'Youville Elementary School,Catholic,Elementary,JK-6
Manotick,St Mark High School,Catholic,Secondary,9-12
Manotick,St Mark Intermediate School,Catholic,Elementary,7-8
Kanata,St Martin de Porres Elementary School,Catholic,Elementary,JK-6
GLOUCESTER,St Mary (Gloucester) Elementary School,Catholic,Elementary,JK-6
Orleans,St Matthew High School,Catholic,Secondary,9-12
Orleans,St Matthew Intermediate School,Catholic,Elementary,7-8
Carp,St Michael (Corkery) Elementary School,Catholic,Elementary,JK-6
Fitzroy Harbour,St Michael (Fitzroy) Elementary School,Catholic,Elementary,JK-8
Ottawa,St Michael Elementary School,Catholic,Elementary,JK-6
Nepean,St Monica Elementary School,Catholic,Elementary,JK-6
Ottawa,St Nicholas Adult High School,Catholic,Secondary,9-12
Nepean,St Patrick Elementary School,Catholic,Elementary,JK-6
Ottawa,St Patrick's High School,Catholic,Secondary,9-12
Ottawa,St Patrick's Intermediate School,Catholic,Elementary,7-8
Ottawa,St Paul High School,Catholic,Secondary,9-12
Ottawa,St Paul Intermediate School,Catholic,Elementary,7-8
Orleans,St Peter High School,Catholic,Secondary,9-12
Orleans,St Peter Intermediate School,Catholic,Elementary,7-8
Richmond,St Philip Elementary School,Catholic,Elementary,JK-6
Ottawa,St Pius X High School,Catholic,Secondary,9-12
Nepean,St Rita Elementary School,Catholic,Elementary,JK-6
Cumberland,St Theresa Elementary School,Catholic,Elementary,JK-6
Ottawa,St Thomas More Elementary School,Catholic,Elementary,JK-6
NEPEAN,St. Benedict Elementary School,Catholic,Elementary,JK-6
Gloucester,St. Brother Andre Elementary School,Catholic,Elementary,JK-6
Nepean,St. Cecilia Catholic School,Catholic,Elementary,JK-6
Cumberland,St. Dominic Catholic Elementary School,Catholic,Elementary,JK-6
Gloucester,St. Francis Xavier (7-8) Catholic School,Catholic,Elementary,7-8
Gloucester,St. Francis Xavier (9-12) Catholic School,Catholic,Secondary,9-12
Kanata,St. Gabriel Elementary School,Catholic,Elementary,JK-6
Ottawa,St. Gemma Elementary School,Catholic,Elementary,JK-6
Kanata,St. Isabel Catholic Elementary School,Catholic,Elementary,JK-6
Gloucester,St. John Paul II Elementary School,Catholic,Elementary,JK-6
Nepean,St. John XXIII Elementary School,Catholic,Elementary,JK-6
Orleans,St. Kateri Tekakwitha Elementary School,Catholic,Elementary,JK-6
Nepean,St. Mother Teresa Catholic Intermediate School,Catholic,Elementary,7-8
Nepean,St. Mother Teresa High School,Catholic,Secondary,9-12
Nepean,St. Rose of Lima Elementary School,Catholic,Elementary,JK-6
Stittsville,St. Stephen Catholic Elementary School,Catholic,Elementary,JK-6
Gloucester,Thomas D'Arcy McGee Elementary School,Catholic,Elementary,JK-6
Stittsville,A. Lorne Cassidy Elementary School,Public,Elementary,JK-8
Kanata,A.Y. Jackson Secondary School,Public,Secondary,9-12
Nepean,Adrienne Clarkson Elementary School,Public,Elementary,JK-6
Ottawa,Agincourt Road Public School,Public,Elementary,JK-8
Ottawa,Alta Vista Public School,Public,Elementary,JK-8
Ottawa,Arch Street Public School,Public,Elementary,JK-6
Orleans,Avalon Public School,Public,Elementary,JK-6
Nepean,Barrhaven Public School,Public,Elementary,JK-6
Nepean,Bayshore Public School,Public,Elementary,JK-6
Ottawa,Bayview Public School,Public,Elementary,JK-4
Nepean,Bell High School,Public,Secondary,9-12
Nepean,Bell Intermediate School,Public,Elementary,7-8
Nepean,Bells Corners Public School,Public,Elementary,JK-6
Nepean,Berrigan Elementary School,Public,Elementary,JK-6
Gloucester,Blossom Park Public School,Public,Elementary,JK-8
Nepean,Briargreen Public School,Public,Elementary,JK-6
Kanata,Bridlewood Community Elementary School,Public,Elementary,JK-6
Ottawa,Broadview Public School,Public,Elementary,JK-8
Ottawa,Brookfield High School,Public,Secondary,9-12
Orleans,Cairine Wilson Secondary School,Public,Secondary,9-12
Ottawa,Cambridge Street Community Public School,Public,Elementary,JK-6
Ottawa,Canterbury High School,Public,Secondary,9-12
Ottawa,Carleton Heights Public School,Public,Elementary,JK-8
Gloucester,Carson Grove Elementary School,Public,Elementary,JK-5
Kanata,Castlefrank Elementary School,Public,Elementary,JK-3
Greely,Castor Valley Elementary School,Public,Elementary,JK-8
Nepean,Cedarview Middle School,Public,Elementary,7-8
Ottawa,Centennial Public School,Public,Elementary,JK-8
Ottawa,Chapman Mills Elementary School,Public,Elementary,JK-6
Ottawa,Charles H. Hulse Public School,Public,Elementary,JK-6
Ottawa,Churchill Alternative School,Public,Elementary,JK-6
Ottawa,Clifford Bowey Public School,Public,Elementary,JK-8
Gloucester,Colonel By Secondary School,Public,Secondary,9-12
Ottawa,Connaught Public School,Public,Elementary,JK-6
Gloucester,Convent Glen Elementary School,Public,Elementary,JK-5
Nepean,Crystal Bay Centre for Special,Public,Elementary,JK-8
Ottawa,D. Roy Kennedy Public School,Public,Elementary,JK-8
Ottawa,Devonshire Community Public School,Public,Elementary,JK-6
Ottawa,Dunlop Public School,Public,Elementary,JK-6
Orleans,Dunning-Foubert Elementary School,Public,Elementary,JK-8
Kanata,Earl of March Intermediate School,Public,Elementary,7-8
Kanata,Earl of March Secondary School,Public,Secondary,9-12
Ottawa,Elgin Street Public School,Public,Elementary,JK-6
Ottawa,Elmdale Public School,Public,Elementary,JK-6
Gloucester,Emily Carr Middle School,Public,Elementary,6-8
Orleans,Fallingbrook Community Elementary School,Public,Elementary,JK-8
Nepean,Farley Mowat Public School,Public,Elementary,JK-6
Ottawa,Featherston Drive Public School,Public,Elementary,JK-8
Ottawa,Fielding Drive Public School,Public,Elementary,4-8
Ottawa,First Avenue Public School,Public,Elementary,JK-6
Ottawa,Fisher Park/Summit AS Public School,Public,Elementary,7-8
Orleans,Forest Valley Elementary School,Public,Elementary,JK-5
Ottawa,General Vanier Public School,Public,Elementary,JK-3
Ottawa,Glashan Public School,Public,Elementary,7-8
Ottawa,Glebe Collegiate Institute,Public,Secondary,9-12
Kanata,Glen Cairn Public School,Public,Elementary,7-8
Gloucester,Glen Ogilvie Public School,Public,Elementary,JK-5
Gloucester,Gloucester High School,Public,Secondary,9-12
Stittsville,Goulbourn Middle School,Public,Elementary,6-8
Greely,Greely Elementary School,Public,Elementary,JK-6
Nepean,Half Moon Bay Public School,Public,Elementary,JK-6
Ottawa,Hawthorne Public School,Public,Elementary,JK-8
Gloucester,Henry Larsen Elementary School,Public,Elementary,JK-8
Gloucester,Henry Munro Middle School,Public,Elementary,6-8
Navan,Heritage Public School,Public,Elementary,JK-8
Ottawa,Hillcrest High School,Public,Secondary,9-12
Ottawa,Hilson Avenue Public School,Public,Elementary,JK-6
Ottawa,Hopewell Avenue Public School,Public,Elementary,JK-8
Carp,Huntley Centennial Public School,Public,Elementary,JK-8
Kanata,Jack Donohue Public School,Public,Elementary,JK-8
Nepean,Jockvale Elementary School,Public,Elementary,JK-6
Nepean,John McCrae Secondary School,Public,Secondary,9-12
Kanata,John Young Elementary School,Public,Elementary,JK-6
Kanata,Kanata Highlands Public School,Public,Elementary,JK-6
Kars,Kars on the Rideau Public School,Public,Elementary,JK-8
Kanata,Katimavik Elementary School,Public,Elementary,4-8
Nepean,Knoxdale Public School,Public,Elementary,JK-6
Ottawa,Lady Evelyn Alternative School,Public,Elementary,JK-6
Nepean,Lakeview Public School,Public,Elementary,JK-6
Gloucester,Le Phare Elementary School,Public,Elementary,JK-5
Ottawa,Lisgar Collegiate Institute,Public,Secondary,9-12
Nepean,Longfields Davidson Heights Intermediate School,Public,Elementary,7-8
Nepean,Longfields Davidson Heights Secondary School,Public,Secondary,9-12
Ottawa,Manor Park Public School,Public,Elementary,JK-6
Nepean,Manordale Public School,Public,Elementary,JK-6
Manotick,Manotick Public School,Public,Elementary,JK-5
Orleans,Maple Ridge Elementary School,Public,Elementary,JK-8
Nepean,Mary Honeywell Elementary School,Public,Elementary,JK-6
Nepean,Meadowlands Public School,Public,Elementary,JK-6
Nepean,Merivale High School,Public,Secondary,9-12
Nepean,Merivale Intermediate School,Public,Elementary,7-8
Metcalfe,Metcalfe Public School,Public,Elementary,JK-8
Ottawa,Mutchmor Public School,Public,Elementary,JK-6
Ottawa,Nepean High School,Public,Secondary,9-12
North Gower,North Gower/Marlborough Public School,Public,Elementary,JK-5
Gloucester,Orleans Wood Elementary School,Public,Elementary,JK-3
Osgoode,Osgoode Public School,Public,Elementary,JK-6
Metcalfe,Osgoode Township High School,Public,Secondary,9-12
Ottawa,Pinecrest Public School,Public,Elementary,JK-8
Ottawa,Pleasant Park Public School,Public,Elementary,JK-6
Ottawa,Queen Elizabeth Public School,Public,Elementary,JK-8
Ottawa,Queen Mary Street Public School,Public,Elementary,JK-6
Ottawa,Regina Street Alternative School,Public,Elementary,JK-6
Richmond,Richmond Public School,Public,Elementary,JK-5
Ottawa,Ridgemont High School,Public,Secondary,9-12
Ottawa,Riverview Alternative School,Public,Elementary,JK-6
Ottawa,Robert Bateman Public School,Public,Elementary,JK-6
Vanier,Robert E.  Wilson Public School,Public,Elementary,JK-6
Gloucester,Robert Hopkins Public School,Public,Elementary,JK-5
Ottawa,Roberta Bondar Public School,Public,Elementary,JK-8
Kanata,Roch Carrier Elementary School,Public,Elementary,JK-6
Ottawa,Rockcliffe Park Public School,Public,Elementary,JK-6
Kanata,Roland Michener Public School,Public,Elementary,JK-6
Gloucester,Sawmill Creek Elementary School,Public,Elementary,JK-8
Ottawa,Severn Avenue Public School,Public,Elementary,JK-6
Nepean,Sir Robert Borden High School,Public,Secondary,9-12
Nepean,Sir Robert Borden Intermediate School,Public,Elementary,7-8
Orleans,Sir Wilfrid Laurier Secondary School,Public,Secondary,9-12
Nepean,Sir Winston Churchill Public School,Public,Elementary,JK-6
Richmond,South Carleton High School,Public,Secondary,9-12
Kanata,South March Public School,Public,Elementary,JK-6
Kanata,Stephen Leacock Public School,Public,Elementary,JK-6
Gloucester,Steve MacLean Public School,Public,Elementary,JK-8
Stittsville,Stittsville Public School,Public,Elementary,JK-6
Woodlawn,Stonecrest Elementary School,Public,Elementary,JK-8
Ottawa,Summerside Public School,Public,Elementary,JK-8
Orleans,Terry Fox Elementary School,Public,Elementary,4-8
Orleans,Trillium Elementary School,Public,Elementary,JK-8
Ottawa,Vimy Ridge Public School,Public,Elementary,JK-8
Ottawa,Vincent Massey Public School,Public,Elementary,JK-8
Ottawa,Viscount Alexander Public School,Public,Elementary,JK-6
Kanata,W. Erskine Johnston Public School,Public,Elementary,JK-6
Ottawa,W.E. Gowling Public School,Public,Elementary,JK-6
Kanata,W.O. Mitchell Elementary School,Public,Elementary,JK-8
Dunrobin,West Carleton Secondary School,Public,Secondary,9-12
Ottawa,Westwind Public School,Public,Elementary,JK-6
Ottawa,Woodroffe Avenue Public School,Public,Elementary,JK-8
Ottawa,Woodroffe High School,Public,Secondary,9-12
Ottawa,York Street Public School,Public,Elementary,JK-8
Brampton,Agnes Taylor Public School,Public,Elementary,JK-6
Mississauga,Allan A Martin Senior Public School,Public,Elementary,6-8
Bolton,Allan Drive Middle School,Public,Elementary,6-8
Caledon,Alloa Public School,Public,Elementary,JK-8
Brampton,Aloma Crescent Public School,Public,Elementary,JK-6
Caledon,Alton Public School,Public,Elementary,JK-6
Mississauga,Applewood Heights Secondary School,Public,Secondary,9-12
Brampton,Arnott Charlton Public School,Public,Elementary,JK-6
Mississauga,Artesian Drive Public School,Public,Elementary,JK-6
Brampton,Aylesbury Public School,Public,Elementary,JK-8
Brampton,Balmoral Drive Senior Public School,Public,Elementary,6-8
Mississauga,Barondale Public School,Public,Elementary,JK-6
Brampton,Beatty-Fleming Sr Public School,Public,Elementary,6-8
Belfountain,Belfountain Public School,Public,Elementary,JK-6
Brampton,Beryl Ford,Public,Elementary,JK-8
Brampton,Birchbank Public School,Public,Elementary,JK-6
Brampton,Bramalea Secondary School,Public,Secondary,9-12
Brampton,Brampton Centennial Secondary School,Public,Secondary,9-12
Mississauga,Brandon Gate Public School,Public,Elementary,JK-6
Mississauga,Brian W. Fleming Public School,Public,Elementary,JK-6
Mississauga,Briarwood Public School,Public,Elementary,JK-6
Brampton,Brisdale Public School,Public,Elementary,JK-5
Mississauga,Bristol Road Middle School,Public,Elementary,6-8
Mississauga,Britannia Public School,Public,Elementary,JK-6
Mississauga,Brookmede Public School,Public,Elementary,JK-6
Mississauga,Burnhamthorpe Public School,Public,Elementary,JK-6
Brampton,Burnt Elm Public School,Public,Elementary,JK-5
Brampton,Calderstone Middle Middle School,Public,Elementary,6-8
CALEDON VILLAGE,Caledon Central Public School,Public,Elementary,JK-8
Caledon East,Caledon East Public School,Public,Elementary,JK-8
Mississauga,Camilla Road Senior Public School,Public,Elementary,6-8
Brampton,Carberry Public School,Public,Elementary,JK-5
Mississauga,Cashmere Avenue Public School,Public,Elementary,JK-6
Brampton,Castle Oaks Public School,Public,Elementary,JK-8
Mississauga,Castlebridge Public School,Public,Elementary,JK-6
Brampton,Castlebrooke SS Secondary School,Public,Secondary,9-12
BRAMPTON,Castlemore Public School,Public,Elementary,JK-8
Mississauga,Cawthra Park Secondary School,Public,Secondary,9-12
Brampton,Centennial Senior Public School,Public,Elementary,6-8
Brampton,Central Peel Secondary School,Public,Secondary,9-12
Mississauga,Champlain Trail Public School,Public,Elementary,JK-6
Brampton,Cherrytree Public School,Public,Elementary,JK-6
Brampton,Cheyne Middle School,Public,Elementary,6-8
BRAMPTON,Chinguacousy Secondary School,Public,Secondary,9-12
Mississauga,Chris Hadfield P.S. (Elementary),Public,Elementary,JK-5
Mississauga,Churchill Meadows Public School,Public,Elementary,JK-6
Brampton,Churchville Public School,Public,Elementary,JK-8
BRAMPTON,Claireville Public School,Public,Elementary,JK-5
Brampton,Clark Boulevard Public School,Public,Elementary,JK-6
Mississauga,Clarkson Public School,Public,Elementary,JK-6
Mississauga,Clarkson Secondary School,Public,Secondary,9-12
Mississauga,Clifton Public School,Public,Elementary,JK-6
Brampton,Conestoga Public School,Public,Elementary,JK-6
Mississauga,Cooksville Creek Public School,Public,Elementary,JK-6
Brampton,Copeland Public School,Public,Elementary,JK-5
Mississauga,Corliss Public School,Public,Elementary,JK-6
Mississauga,Corsair Public School,Public,Elementary,JK-6
Brampton,Countryside Village PS (Elementary),Public,Elementary,JK-8
Mississauga,Credit Valley Public School,Public,Elementary,JK-6
Mississauga,Darcel Avenue Senior Public School,Public,Elementary,6-8
Mississauga,David Leeder Middle School,Public,Elementary,6-8
Brampton,David Suzuki Secondary School,Public,Secondary,9-12
Mississauga,Derry West Village Public School,Public,Elementary,JK-6
Mississauga,Dixie Public School,Public,Elementary,JK-6
Mississauga,Dolphin Senior Public School,Public,Elementary,6-8
Brampton,Dolson Public School,Public,Elementary,JK-8
Brampton,Dorset Drive Public School,Public,Elementary,JK-6
Mississauga,Dunrankin Drive Public School,Public,Elementary,JK-6
Brampton,Eagle Plains Public School,Public,Elementary,JK-8
Brampton,Earnscliffe Senior Public School,Public,Elementary,6-8
Brampton,Eastbourne Drive Public School,Public,Elementary,JK-6
Brampton,Edenbrook Hill Public School,Public,Elementary,JK-6
Mississauga,Edenrose Public School,Public,Elementary,JK-6
Mississauga,Edenwood Middle School,Public,Elementary,7-8
Brampton,Eldorado P.S. (Elementary),Public,Elementary,JK-8
Mississauga,Ellengale Public School,Public,Elementary,JK-6
Bolton,Ellwood Memorial Public School,Public,Elementary,JK-6
Mississauga,Elm Drive (Elementary),Public,Elementary,JK-8
MISSISSAUGA,Erin Centre Middle School,Public,Elementary,6-8
Mississauga,Erin Mills Middle School,Public,Elementary,6-8
MISSISSAUGA,Erindale Secondary School,Public,Secondary,9-12
Brampton,Esker Lake Public School,Public,Elementary,JK-6
Brampton,Fairlawn Elementary Public School,Public,Elementary,JK-8
Mississauga,Fairview Public School,Public,Elementary,JK-6
Mississauga,Fairwind Senior Public School,Public,Elementary,6-8
Mississauga,Fallingbrook Middle School,Public,Elementary,JK-8
Brampton,Fallingdale Public School,Public,Elementary,JK-6
Brampton,Fernforest Public School,Public,Elementary,JK-5
Brampton,Fletcher's Creek Senior Public School,Public,Elementary,5-8
Brampton,Fletcher's Meadow Secondary School,Public,Secondary,9-12
Mississauga,Floradale Public School,Public,Elementary,JK-6
Brampton,Folkstone Public School,Public,Elementary,JK-6
Mississauga,Forest Avenue Public School,Public,Elementary,JK-6
Mississauga,Forest Glen Public School,Public,Elementary,JK-6
Mississauga,Garthwood Park Public School,Public,Elementary,JK-6
Brampton,Glendale Public School,Public,Elementary,JK-6
Mississauga,Glenforest Secondary School,Public,Secondary,9-12
Mississauga,Glenhaven Senior Public School,Public,Elementary,6-8
Brampton,Goldcrest Public School,Public,Elementary,JK-6
Brampton,Gordon Graydon Senior Public School,Public,Elementary,6-8
Brampton,Great Lakes Public School,Public,Elementary,JK-8
Mississauga,Green Glade Senior Public School,Public,Elementary,6-8
BRAMPTON,Greenbriar Senior Public School,Public,Elementary,6-8
BRAMPTON,Grenoble Public School,Public,Elementary,JK-6
Brampton,Hanover Public School,Public,Elementary,JK-6
Brampton,Harold F Loughin Public School,Public,Elementary,JK-6
Brampton,Harold M. Brathwaite Secondary School,Public,Secondary,9-12
Mississauga,Hawthorn Public School,Public,Elementary,JK-8
Mississauga,Hazel McCallion Senior Public School,Public,Elementary,6-8
Brampton,Heart Lake Secondary School,Public,Secondary,9-12
Brampton,Helen Wilson Public School,Public,Elementary,JK-6
INGLEWOOD,Herb Campbell Public School,Public,Elementary,JK-8
Brampton,Hewson Elementary Public School,Public,Elementary,JK-5
Brampton,Hickory Wood Public School,Public,Elementary,JK-5
Mississauga,Hillcrest Public School,Public,Elementary,JK-8
Brampton,Hilldale Public School,Public,Elementary,JK-6
Mississauga,Hillside Public School Public School,Public,Elementary,JK-8
Mississauga,Homelands Senior Public School,Public,Elementary,6-8
Brampton,Homestead Public School,Public,Elementary,JK-6
Bolton,Humberview Secondary School,Public,Secondary,9-12
Mississauga,Huntington Ridge Public School,Public,Elementary,JK-6
Huttonville,Huttonville Public School,Public,Elementary,JK-8
Brampton,Ingleborough (Elementary),Public,Elementary,JK-8
Bolton,James Bolton Public School,Public,Elementary,JK-6
Brampton,James Grieve Public School,Public,Elementary,JK-8
Brampton,James Potter Public School,Public,Elementary,JK-5
Mississauga,Janet I. McDougald Public School,Public,Elementary,JK-5
Brampton,Jean Augustine Secondary School,Public,Secondary,9-12
Brampton,Jefferson Public School,Public,Elementary,JK-6
Mississauga,John Fraser Secondary School,Public,Secondary,9-12
Mississauga,Kenollie Public School,Public,Elementary,JK-6
Mississauga,Kindree Public School,Public,Elementary,JK-6
Brampton,Kingswood Drive Public School,Public,Elementary,JK-6
Mississauga,Lancaster Public School,Public,Elementary,JK-6
Brampton,Larkspur Public School,Public,Elementary,JK-5
Mississauga,Levi Creek Public School,Public,Elementary,JK-6
Mississauga,Lincoln M. Alexander Secondary School,Public,Secondary,9-12
Mississauga,Lisgar Middle School,Public,Elementary,6-8
Brampton,Lorenville P.S. (Elementary),Public,Elementary,JK-8
Mississauga,Lorne Park Public School,Public,Elementary,JK-6
Mississauga,Lorne Park Secondary School,Public,Secondary,9-12
Brampton,Lougheed Middle School,Public,Elementary,6-8
Brampton,Louise Arbour Secondary School,Public,Secondary,9-12
Caledon,Macville Public School,Public,Elementary,JK-8
Brampton,Madoc Drive Public School,Public,Elementary,JK-6
Caledon,Malala Yousafzai PS (Elementary),Public,Elementary,JK-8
Mississauga,Maple Wood Public School,Public,Elementary,JK-6
Mississauga,Marvin Heights Public School,Public,Elementary,JK-6
Brampton,Massey Street Public School,Public,Elementary,JK-6
Caledon,Mayfield Secondary School,Public,Secondary,9-12
Mississauga,McBride Avenue Public School,Public,Elementary,JK-6
Brampton,McClure PS (Elementary),Public,Elementary,JK-8
Brampton,McCrimmon Middle School,Public,Elementary,6-8
Brampton,McHugh Public School,Public,Elementary,JK-6
Mississauga,McKinnon Public School,Public,Elementary,JK-5
Mississauga,Meadowvale Secondary School,Public,Secondary,9-12
Mississauga,Meadowvale Village Public School,Public,Elementary,JK-6
Mississauga,Middlebury Public School,Public,Elementary,JK-6
Mississauga,Miller's Grove School,Public,Elementary,JK-6
Mississauga,Mineola Public School,Public,Elementary,JK-6
Mississauga,Mississauga Secondary School,Public,Secondary,9-12
Mississauga,Morning Star Middle School,Public,Elementary,6-8
Brampton,Morton Way Public School,Public,Elementary,JK-6
Brampton,Mount Pleasant Village Public School,Public,Elementary,JK-8
Brampton,Mount Royal Public School,Public,Elementary,JK-8
Brampton,Mountain Ash (Elementary),Public,Elementary,JK-8
Mississauga,Munden Park Public School,Public,Elementary,JK-6
Mississauga,Nahani Way Public School,Public,Elementary,JK-6
Brampton,Nelson Mandela P.S. (Elementary),Public,Elementary,JK-5
Brampton,North Park Secondary School,Public,Secondary,9-12
Brampton,Northwood Public School,Public,Elementary,JK-6
Mississauga,Oakridge Public School,Public,Elementary,JK-6
Mississauga,Oscar Peterson Public School,Public,Elementary,JK-6
Mississauga,Osprey Woods Public School,Public,Elementary,JK-6
Mississauga,Owenwood Public School,Public,Elementary,JK-6
Palgrave,Palgrave Public School,Public,Elementary,JK-8
Brampton,Parkway Public School,Public,Elementary,JK-6
BRAMPTON,Peel Alternative - North Elementary,Public,Elementary,5-8
Mississauga,Peel Alternative - South Elementary,Public,Elementary,6-8
BRAMPTON,Peel Alternative North ISR,Public,Secondary,9-12
MISSISSAUGA,Peel Alternative South ISR,Public,Secondary,9-12
Mississauga,Plowman's Park Public School,Public,Elementary,JK-6
Mississauga,Plum Tree Park Public School,Public,Elementary,JK-6
Mississauga,Port Credit Secondary School,Public,Secondary,9-12
Caledon,Pte. Buckam Singh PS (Elementary),Public,Elementary,JK-8
Mississauga,Queen Elizabeth Senior Public School,Public,Elementary,6-8
Brampton,Queen Street Public School,Public,Elementary,JK-6
Mississauga,Queenston Drive Public School,Public,Elementary,JK-8
Brampton,Ray Lawson,Public,Elementary,JK-6
Mississauga,Ray Underhill Public School,Public,Elementary,JK-6
Brampton,Red Willow Public School,Public,Elementary,JK-5
Mississauga,Rick Hansen Secondary School,Public,Secondary,9-12
Brampton,Ridgeview Public School,Public,Elementary,JK-6
Mississauga,Ridgewood Public School,Public,Elementary,JK-6
Mississauga,Riverside Public School,Public,Elementary,JK-8
Brampton,Robert H Lagerquist Senior Public School,Public,Elementary,6-8
Brampton,Robert J Lee Public School,Public,Elementary,JK-8
BRAMPTON,Roberta Bondar Public School,Public,Elementary,JK-8
Brampton,Ross Drive P.S. (Elementary),Public,Elementary,JK-8
Brampton,Rowntree Public School,Public,Elementary,JK-6
Brampton,Royal Orchard Middle School,Public,Elementary,6-8
Brampton,Russell D Barber Public School,Public,Elementary,JK-6
Mississauga,Ruth Thompson Middle School,Public,Elementary,5-8
Brampton,Sandalwood Heights Secondary School,Public,Secondary,9-12
Mississauga,Sawmill Valley Public School,Public,Elementary,JK-6
Mississauga,Settler's Green Public School,Public,Elementary,JK-6
Brampton,Shaw Public School,Public,Elementary,JK-8
Mississauga,Shelter Bay Public School,Public,Elementary,JK-6
Mississauga,Sheridan Park Public School,Public,Elementary,JK-6
Mississauga,Sherwood Mills Public School,Public,Elementary,JK-6
Mississauga,Silver Creek Public School,Public,Elementary,JK-6
Mississauga,Silverthorn Public School,Public,Elementary,JK-6
Brampton,Sir Isaac Brock P.S. (Elementary),Public,Elementary,JK-8
Brampton,Sir John A. Macdonald Senior Public School,Public,Elementary,6-8
BRAMPTON,Sir Wilfrid Laurier Public School,Public,Elementary,JK-6
Brampton,Sir William Gage Middle School,Public,Elementary,1-8
Brampton,Sir Winston Churchill Public School,Public,Elementary,JK-8
Brampton,Somerset Drive Public School,Public,Elementary,JK-6
CALEDON,SouthFields Village (Elementary),Public,Elementary,JK-8
Brampton,Springbrook P.S. (Elementary),Public,Elementary,JK-8
Brampton,Springdale Public School,Public,Elementary,JK-6
MISSISSAUGA,Springfield Public School,Public,Elementary,JK-6
BRAMPTON,Stanley Mills Public School,Public,Elementary,JK-6
Mississauga,Stephen Lewis Secondary School,Public,Secondary,9-12
Mississauga,Streetsville Secondary School,Public,Secondary,9-12
Brampton,Sunny View Middle School,Public,Elementary,6-8
Mississauga,T. L. Kennedy Secondary School,Public,Secondary,9-12
Mississauga,Tecumseh Public School,Public,Elementary,JK-8
Brampton,Terry Fox Public School,Public,Elementary,JK-6
Mississauga,The Valleys Senior Public School,Public,Elementary,6-8
Mississauga,The Woodlands,Public,Elementary,6-8
Mississauga,The Woodlands Secondary School,Public,Secondary,9-12
Mississauga,Thomas Street Middle School,Public,Elementary,6-8
Mississauga,Thorn Lodge Public School,Public,Elementary,JK-6
Brampton,Thorndale Public School,Public,Elementary,JK-8
Mississauga,Thornwood Public School,Public,Elementary,JK-6
Mississauga,Tomken Road Senior Public School,Public,Elementary,6-8
Caledon,Tony Pontes (Elementary),Public,Elementary,JK-8
Brampton,Treeline Public School,Public,Elementary,JK-8
Mississauga,Trelawny Public School,Public,Elementary,JK-6
Brampton,Tribune Drive Public School,Public,Elementary,JK-8
Brampton,Turner Fenton Secondary School,Public,Secondary,9-12
Mississauga,Vista Heights Public School,Public,Elementary,JK-6
Brampton,Walnut Grove P.S. (Elementary),Public,Elementary,JK-8
Mississauga,Westacres Public School,Public,Elementary,JK-6
Brampton,Westervelts Corners Public School,Public,Elementary,JK-5
Brampton,Whaley's Corners Public School,Public,Elementary,JK-8
Mississauga,Whitehorn Public School,Public,Elementary,JK-6
Mississauga,Whiteoaks Public School,Public,Elementary,JK-6
BRAMPTON,William G. Davis Senior Public School,Public,Elementary,6-8
BRAMPTON,Williams Parkway Senior Public School,Public,Elementary,6-8
Mississauga,Willow Way Public School,Public,Elementary,JK-6
Brampton,Worthington Public School,Public,Elementary,JK-6
Penetanguishene,Burkevale Protestant Separate School,Protestant Separate,Elementary,JK-8
Courtice,Good Shepherd Catholic Elementary School,Catholic,Elementary,JK-8
Peterborough,Holy Cross Catholic Secondary School,Catholic,Secondary,9-12
Bowmanville,Holy Family Catholic Elementary School,Catholic,Elementary,JK-8
Courtice,Holy Trinity Catholic Secondary School,Catholic,Secondary,9-12
Peterborough,Immaculate Conception Catholic Elementary School,Catholic,Elementary,JK-8
Courtice,Monsignor Leo Cleary Catholic Elementary School,Catholic,Elementary,JK-8
Peterborough,Monsignor O'Donoghue Catholic Elementary School,Catholic,Elementary,JK-8
Cobourg,Notre Dame Catholic Elementary School,Catholic,Elementary,JK-8
Peterborough,St. Alphonsus Catholic Elementary School,Catholic,Elementary,JK-8
Peterborough,St. Anne Catholic Elementary School,Catholic,Elementary,JK-8
Port Hope,St. Anthony Catholic Elementary School,Catholic,Elementary,JK-8
Peterborough,St. Catherine Catholic Elementary School,Catholic,Elementary,JK-8
Lindsay,St. Dominic Catholic Elementary School,Catholic,Elementary,JK-8
Bowmanville,St. Elizabeth Catholic Elementary School,Catholic,Elementary,JK-8
Newcastle,St. Francis of Assisi Catholic Elementary School,Catholic,Elementary,JK-8
Peterborough,St. John Catholic Elementary School,Catholic,Elementary,JK-8
Lindsay,St. John Paul II Catholic Elementary School,Catholic,Elementary,JK-8
Douro,St. Joseph Catholic Elementary School,Catholic,Elementary,JK-8
Cobourg,St. Joseph Catholic Elementary School,Catholic,Elementary,JK-8
Bowmanville,St. Joseph Catholic Elementary School,Catholic,Elementary,JK-8
Lindsay,St. Luke Catholic Elementary School,Catholic,Elementary,JK-8
Ennismore,St. Martin Catholic Elementary School,Catholic,Elementary,JK-8
Grafton,St. Mary Catholic Elementary School,Catholic,Elementary,JK-8
Campbellford,St. Mary Catholic Elementary School,Catholic,Elementary,JK-8
Lindsay,St. Mary Catholic Elementary School,Catholic,Elementary,JK-8
